,Name,total_y,total_pre_y
0,RW,94.0,174.6058591042721
1,RW,194.0,138.5243966645052
2,RW,151.0,152.3213221450248
3,RW,96.0,159.50913422208646
4,RW,132.0,134.79883960466293
5,RW,115.0,153.32337743321688
6,RW,90.0,133.09981016745286
7,RW,199.0,149.7498911466226
8,RW,197.0,156.62925978176423
9,Ryan,92.0,38.5803179440527
10,Ryan,94.0,74.63804079696263
11,Ryan,101.0,76.29790295452285
12,Ryan,96.0,112.09243131691431
13,Ryan,101.0,117.13277042471853
14,Ryan,92.0,112.61577777910708
15,Ryan,104.0,111.6909923183246
16,Ryan,94.0,110.8533767724908
17,Ryan,145.0,118.13720180152725
18,Ryan,139.0,154.31015215373372
19,Ryan,115.0,115.60323875733944
20,Silver,90.0,147.73746923389945
21,Silver,137.5,127.77572457307062
22,Silver,106.5,206.06537064226472
23,Silver,101.0,219.94966484874493
24,Tester B,212.0,200.1830505791367
25,Tester B,258.0,250.8332000080306
26,Tester B,257.5,272.5452652279075
27,Tester B,204.5,210.63124222482134
28,Tester B,383.0,381.315182470112
29,Roger,96.5,125.36317830333176
30,Roger,153.5,140.8964422946083
31,Roger,130.5,136.5284628937173
32,Roger,136.0,153.2964896906467
33,Roger,111.0,137.38940685448807
34,Roger,156.5,134.65372163279196
35,Roger,109.0,120.32824246610959
36,Roger,112.0,121.29448872093604
37,Roger,93.0,127.4907835104841
38,Roger,163.5,131.0848529325491
39,Roger,136.0,129.62732144322365
40,Roger,120.0,115.74287538084347
41,Tester A,184.5,172.93571994383186
42,Tester A,195.0,221.75361234994972
43,Tester A,224.0,226.55024525207602
44,Tester A,247.0,219.7700186181333
45,Tester A,146.0,188.11759970264345
46,Tester A,183.0,186.26571139988357
47,Tester A,159.0,192.7505267784526
48,Redick,87.0,112.4612018515812
49,Redick,155.0,157.36891964127412
50,Redick,110.0,100.8056515719821
51,Redick,87.0,138.38187819750692
52,Redick,110.0,132.7985844935949
53,Redick,104.0,136.9482309926569
54,Redick,155.0,165.12371052082867
55,Redick,87.0,127.30485512272209
56,Nick,113.0,102.93090690563372
57,Nick,120.0,126.82382003093879
58,Nick,96.0,109.23373191712669
59,Nick,84.0,85.66857164148462
60,Nick,107.0,124.07924106149429
61,Nick,105.0,130.36619290076277
62,Nick,120.0,118.79390694947757
63,Nick,84.0,86.20898444656734
64,Nick,82.0,98.08352286350983
65,Nick,150.0,99.89176470792538
66,Nick,126.0,120.16164801208022
67,Nick,94.0,106.18488181263297
68,Nick,86.0,102.5821210859216
69,Nick,137.0,120.78099473766173
70,Nick,108.0,100.51100595022477
71,Nick,104.0,111.67550097961892
72,Nick,82.0,95.95233919231481
73,Nick,150.0,119.05515185974136
74,Nick,126.0,210.7932033017063
75,Nick,94.0,114.34362270958917
76,Nick,86.0,90.74657552492135
77,Nick,137.0,118.13865788130747
78,Nick,108.0,109.53062886402085
79,Nick,104.0,119.02592610766413
80,Nick,80.0,100.30908021986163
81,Nick,150.0,103.6120635492396
82,Nick,110.0,105.89851768937022
83,Nick,92.0,131.47005494090592
84,Nick,84.0,113.47047823805792
85,Nick,145.0,111.3119188221832
86,Nick,123.0,134.77030816460146
87,Nick,100.0,119.15122315535234
88,Nick,87.0,93.36505200689854
89,Nick,86.0,106.14309299973543
90,Nick,126.0,104.27243037692548
91,Nick,110.0,117.67053231611175
92,Nick,95.0,102.79721870210894
93,Nick,88.0,106.76012638568322
