,Name,total_y,total_pre_y
0,RW,94.0,132.3619475355133
1,RW,194.0,118.68347471148691
2,RW,151.0,118.8299344734498
3,RW,96.0,121.7601173383485
4,RW,132.0,154.29872336147545
5,RW,115.0,149.05047081762757
6,RW,90.0,145.2229905510215
7,RW,199.0,168.6217228271843
8,RW,197.0,139.11628331826338
9,Ryan,92.0,107.47773776548749
10,Ryan,94.0,130.7649295062168
11,Ryan,101.0,119.37813517333862
12,Ryan,96.0,127.4843904609756
13,Ryan,101.0,128.45051665397986
14,Ryan,92.0,122.35955417969541
15,Ryan,104.0,102.49388683632368
16,Ryan,94.0,92.97904107318926
17,Ryan,145.0,130.99278497918291
18,Ryan,139.0,130.30874566729224
19,Ryan,115.0,109.80101869758239
20,Silver,90.0,119.41841330987208
21,Silver,137.5,136.25911582415378
22,Silver,106.5,110.7836767978089
23,Silver,101.0,113.93726171046933
24,Tester B,212.0,242.4929985239896
25,Tester B,258.0,208.14439774053446
26,Tester B,257.5,193.1467123447038
27,Tester B,204.5,260.4664207091216
28,Tester B,383.0,398.4817287430103
29,Roger,96.5,134.85911787680968
30,Roger,153.5,138.59408783592642
31,Roger,130.5,133.4482225657333
32,Roger,136.0,142.41214516989567
33,Roger,111.0,132.68536706895173
34,Roger,156.5,124.93753648497757
35,Roger,109.0,125.22237416071606
36,Roger,112.0,125.92879533414612
37,Roger,93.0,129.817858010491
38,Roger,163.5,123.30786046525823
39,Roger,136.0,124.0889042366154
40,Roger,120.0,126.08604965602146
41,Tester A,184.5,226.60412363049093
42,Tester A,195.0,208.21210817396008
43,Tester A,224.0,224.52218177214215
44,Tester A,247.0,212.59418167287942
45,Tester A,146.0,204.21055209837104
46,Tester A,183.0,257.732059502694
47,Tester A,159.0,248.64940085071908
48,Redick,87.0,139.50918282459537
49,Redick,155.0,138.275572642537
50,Redick,110.0,128.64208805183185
51,Redick,87.0,146.33865997851362
52,Redick,110.0,117.66840444162092
53,Redick,104.0,133.02859427545383
54,Redick,155.0,149.04510565155806
55,Redick,87.0,131.32687976005496
56,Nick,113.0,136.03424458428123
57,Nick,120.0,123.97021235690505
58,Nick,96.0,112.52567635503844
59,Nick,84.0,77.64863203959636
60,Nick,107.0,133.43304532659286
61,Nick,105.0,153.02213588630673
62,Nick,120.0,153.09142989264467
63,Nick,84.0,87.60741762870566
64,Nick,82.0,98.34360637793563
65,Nick,150.0,111.16726313933569
66,Nick,126.0,138.44960751087052
67,Nick,94.0,116.81663610770052
68,Nick,86.0,112.49791430275383
69,Nick,137.0,131.23684354463202
70,Nick,108.0,108.7196412054805
71,Nick,104.0,117.69859896363025
72,Nick,82.0,104.45895953730918
73,Nick,150.0,123.1539751551389
74,Nick,126.0,151.75643202569208
75,Nick,94.0,135.03799422069054
76,Nick,86.0,108.10055313262154
77,Nick,137.0,124.9270505987426
78,Nick,108.0,123.8396288526083
79,Nick,104.0,127.34076535535446
80,Nick,80.0,102.99678338489552
81,Nick,150.0,103.33994149119201
82,Nick,110.0,131.91168923059735
83,Nick,92.0,133.60655858875126
84,Nick,84.0,102.59344650537001
85,Nick,145.0,133.85579737345705
86,Nick,123.0,142.36065610440667
87,Nick,100.0,128.58967886465166
88,Nick,87.0,92.20369428128964
89,Nick,86.0,95.43165835960524
90,Nick,126.0,106.13382392429142
91,Nick,110.0,125.23530666027641
92,Nick,95.0,95.40416329140511
93,Nick,88.0,106.8155786288697
94,Nick,149.0,151.6938083586291
95,Nick,143.0,140.4510987061076
96,Nick,133.0,96.21592138274536
97,Nick,88.0,96.0305346245905
98,Nick,83.0,92.81892701257237
99,Nick,143.0,123.5748933445159
100,Nick,114.0,173.32181862164583
101,Nick,108.0,114.50869536518286
102,Nick,79.0,133.53524998892723
103,Nick,135.0,162.74543113640516
104,Nick,119.0,160.8108682353352
105,Nick,107.0,164.0591657853886
106,Nick,146.0,157.89236237559797
107,Nick,121.0,148.8302806220279
108,Nick,90.0,101.5846657098676
109,Nick,86.0,100.61435198621041
110,Nick,132.0,120.44991428283211
111,Nick,109.0,163.8940084960529
112,Nick,95.0,105.31132841512091
113,Nick,89.0,92.81088027505982
114,Nick,126.0,134.36380079454923
115,Nick,116.0,154.38723489707564
116,Nick,108.0,118.44433775914696
