,Name,total_y,total_pre_y
0,RW,94.0,122.27777100967297
1,RW,194.0,157.46901902960593
2,RW,151.0,149.031354839784
3,RW,96.0,138.6068061216117
4,RW,132.0,138.92736574822496
5,RW,115.0,175.33608789151364
6,RW,90.0,121.72863057454552
7,RW,199.0,183.4071696128533
8,RW,197.0,196.9786858543896
9,Ryan,92.0,153.7846083557297
10,Ryan,94.0,147.29946043419602
11,Ryan,101.0,115.76277843665692
12,Ryan,96.0,122.84185779991641
13,Ryan,101.0,135.52287265438187
14,Ryan,92.0,118.98108499306129
15,Ryan,104.0,122.71478931758477
16,Ryan,94.0,109.60730899194728
17,Ryan,145.0,163.18163546504223
18,Ryan,139.0,148.97367711932267
19,Ryan,115.0,127.70942699033864
20,Silver,90.0,129.95795040171046
21,Silver,137.5,136.75474198886874
22,Silver,106.5,119.20207455906036
23,Silver,101.0,114.90568484606749
24,Tester B,212.0,156.06037209945805
25,Tester B,258.0,265.1168168839356
26,Tester B,257.5,340.4660400204303
27,Tester B,204.5,245.5402156771413
28,Tester B,383.0,404.5625434579297
29,Roger,96.5,127.57550445564333
30,Roger,153.5,152.18519997749382
31,Roger,130.5,140.7876207167215
32,Roger,136.0,135.7788955490609
33,Roger,111.0,124.88000521654774
34,Roger,156.5,178.72940027694952
35,Roger,109.0,190.48939841156533
36,Roger,112.0,130.99702631495518
37,Roger,93.0,128.17754947558856
38,Roger,163.5,139.7188662071227
39,Roger,136.0,169.25157023359682
40,Roger,120.0,123.59145488653827
41,Tester A,184.5,192.90580378351424
42,Tester A,195.0,226.87535318690684
43,Tester A,224.0,247.1546130432312
44,Tester A,247.0,230.95053845111795
45,Tester A,146.0,194.3891413458815
46,Tester A,183.0,188.5278713567534
47,Tester A,159.0,174.10721559667292
48,Alex,99.0,122.5705386491447
49,Alex,140.0,133.0381476433274
50,Alex,135.0,136.6029035328042
51,Alex,98.0,125.75176713169273
52,Alex,93.0,123.89841772957406
53,Alex,151.0,149.81618165706146
54,Alex,164.0,169.9446330438365
55,Alex,128.0,119.28574906866125
56,Gary,77.0,114.40574564220393
57,Gary,133.0,132.32393893695522
58,Gary,110.0,143.49645235724833
59,Gary,102.0,124.44414058265806
60,Gary,79.0,126.78896686089321
61,Gary,155.0,123.20858692051253
62,Gary,159.0,145.80433082957347
63,Gary,114.0,143.85630656140208
64,Tester E,136.0,146.0864866230412
65,Tester E,125.0,183.557812980105
66,Tester E,168.0,144.910789503532
67,Tester E,148.0,159.67677601587042
68,Tester E,214.0,152.87993166377484
69,Tester D,196.0,209.80265707877697
70,Tester D,203.0,256.3168359390418
71,Tester D,278.0,254.00871001697033
72,Tester D,228.0,243.95273074059202
73,Tester D,195.0,200.28068010944142
74,Tester B,253.5,285.7736863837695
75,Tester B,242.5,267.9412717978652
76,Tester B,266.0,281.8028295595825
77,Tester B,215.0,148.81516862526806
78,Tester B,139.5,158.95818134769976
79,Tester A,187.0,241.6031442243392
80,Tester A,281.0,300.4001621481345
81,Tester A,306.0,272.97808752153225
82,Tester A,258.0,247.67586433078463
83,Tester A,212.0,257.99490689718084
84,Tester A,186.0,234.83535708754022
85,Tester M,76.0,134.56492303268914
86,Tester M,113.0,117.48834513269897
87,Tester M,87.0,112.36960561422161
88,Tester M,81.0,108.85980301724254
89,Tester M,110.0,130.42645270440556
90,Tester M,111.0,116.60873705353916
91,Tester M,93.0,122.06586187362298
92,Tester A,221.0,297.46336401965743
