,Name,total_y,total_pre_y
0,RW,94.0,135.75429484513393
1,RW,194.0,155.03443021975602
2,RW,151.0,144.76207470843613
3,RW,96.0,140.00543391386728
4,RW,132.0,143.65812159458918
5,RW,115.0,153.18621096299444
6,RW,90.0,123.15277176050303
7,RW,199.0,162.65054327912253
8,RW,197.0,159.78018916253174
9,Ryan,92.0,159.56133374966723
10,Ryan,94.0,141.05172106144764
11,Ryan,101.0,124.0426354255033
12,Ryan,96.0,124.23782217448884
13,Ryan,101.0,137.96007879188275
14,Ryan,92.0,123.89155849624234
15,Ryan,104.0,116.11122232722195
16,Ryan,94.0,104.7978812205316
17,Ryan,145.0,166.48938509204936
18,Ryan,139.0,144.38132675268878
19,Ryan,115.0,132.78887781193913
20,Silver,90.0,100.95323237965921
21,Silver,137.5,126.77240096263887
22,Silver,106.5,106.78588180435163
23,Silver,101.0,110.16747073866588
24,Tester B,212.0,199.24045170356257
25,Tester B,258.0,220.04318911537783
26,Tester B,257.5,191.80869485295258
27,Tester B,204.5,215.97867668740395
28,Tester B,383.0,404.623607010062
29,Roger,96.5,101.7218067996054
30,Roger,153.5,158.86751972044001
31,Roger,130.5,136.39362774702408
32,Roger,136.0,135.46024454845758
33,Roger,111.0,114.2726128855735
34,Roger,156.5,159.81931258473242
35,Roger,109.0,174.52706605508425
36,Roger,112.0,131.89293066354836
37,Roger,93.0,114.191803335921
38,Roger,163.5,154.46303557223274
39,Roger,136.0,169.82976170082554
40,Roger,120.0,177.1421674341468
41,Tester A,184.5,226.2511038782144
42,Tester A,195.0,205.61040761821096
43,Tester A,224.0,219.55598582832226
44,Tester A,247.0,239.00561547432153
45,Tester A,146.0,188.531326150204
46,Tester A,183.0,235.5423275063195
47,Tester A,159.0,235.82869231319904
48,Alex,99.0,94.7885535363363
49,Alex,140.0,150.80092020097007
50,Alex,135.0,162.16276184756367
51,Alex,98.0,119.61812498227248
52,Alex,93.0,95.07973510602254
53,Alex,151.0,155.06550419050657
54,Alex,164.0,159.0556431267907
55,Alex,128.0,116.93752159344096
56,Gary,77.0,122.3690247146826
57,Gary,133.0,127.70637250454809
58,Gary,110.0,141.53771614488744
59,Gary,102.0,137.5416676144931
60,Gary,79.0,121.80727506314373
61,Gary,155.0,128.66576692184742
62,Gary,159.0,144.85593953958116
63,Gary,114.0,141.81654141102393
64,Tester E,136.0,194.3275142115893
65,Tester E,125.0,234.00036977319033
66,Tester E,168.0,189.01040269620134
67,Tester E,148.0,213.1161508870193
68,Tester E,214.0,219.84357295243646
69,Tester D,196.0,199.25341665435653
70,Tester D,203.0,221.1505838548154
71,Tester D,278.0,226.52378751634635
72,Tester D,228.0,218.63837308586605
73,Tester D,195.0,206.61668508043562
74,Tester B,253.5,199.2249795811222
75,Tester B,242.5,214.65314697105026
76,Tester B,266.0,206.80987051064693
77,Tester B,215.0,160.94460161714622
78,Tester B,139.5,178.84642119518162
79,Tester A,187.0,228.64486189458069
80,Tester A,281.0,276.84229934070214
81,Tester A,306.0,319.15652315151067
82,Tester A,258.0,240.41993705104494
83,Tester A,212.0,240.9113082900226
84,Tester A,186.0,238.32433555484633
85,Tester M,76.0,129.7583917982178
86,Tester M,113.0,131.9920867322174
87,Tester M,87.0,115.48598140505827
88,Tester M,81.0,113.89445741414035
89,Tester M,110.0,171.82498395936048
90,Tester M,111.0,142.75902451303617
91,Tester M,93.0,151.93568499636956
92,Tester A,221.0,231.98906177068386
93,Tester A,281.0,215.31838187257844
94,Tester A,287.0,218.70516993082327
95,Tester A,260.0,235.72373994313728
96,Tester A,263.0,232.70714595220159
97,Tester A,323.0,235.90433790987814
98,Nien,150.0,129.28670728487063
99,Nien,131.0,178.50990499028748
100,Nien,152.0,148.42543139174356
101,Nien,156.0,145.22657146134532
102,Nien,93.0,118.99508676109605
103,Nien,155.0,146.6732651818401
104,Nien,147.0,138.21823471713395
105,Nien,112.0,117.84646056777532
106,Roger,101.0,139.72447835911498
107,Roger,173.5,156.55953084316627
108,Roger,141.0,159.03533053369654
109,Roger,157.0,157.22380573654758
110,Roger,138.25,192.71362816138864
111,Roger,111.0,189.67213010950954
112,Roger,111.0,164.94405556121689
113,Roger,95.0,126.55547961475767
114,Roger,156.5,167.04944807398599
115,Roger,116.0,171.99262000248504
116,Roger,121.0,151.6790729753928
117,Helen,108.5,112.8873773794883
118,Helen,203.5,142.58501196155908
119,Helen,159.0,93.17654218828571
120,Helen,91.0,84.59481716612865
121,Helen,87.5,95.19715656999738
122,Helen,131.0,90.54056036928306
123,Helen,117.5,123.67294236425663
124,Helen,105.0,140.6183666329308
125,Helen,95.5,106.57159698990993
126,Helen,219.0,157.22065758172351
127,Helen,197.0,151.16589999814357
128,Helen,154.0,157.91951334104635
129,Redick,87.0,124.84304541077181
130,Redick,155.0,146.928357192213
131,Redick,110.0,124.13587998236699
132,Redick,87.0,129.18141490257437
133,Redick,110.0,127.92726865813589
134,Redick,104.0,125.54229649291909
135,Nick,113.0,128.23856034097864
136,Nick,120.0,104.76640576100917
137,Nick,96.0,117.53103696953488
138,Nick,84.0,102.85414268726262
