,Name,total_y,total_pre_y
0,RW,94.0,125.0199011190388
1,RW,194.0,179.8451906811454
2,RW,151.0,171.2837849544674
3,RW,96.0,155.88011705535806
4,RW,132.0,153.29802039390958
5,RW,115.0,167.85979969394867
6,RW,90.0,115.68488477059552
7,RW,199.0,163.74426819586714
8,RW,197.0,177.65472623417043
9,Ryan,92.0,179.16466513820149
10,Ryan,94.0,128.33885423077956
11,Ryan,101.0,101.75616362035537
12,Ryan,96.0,114.46768897134226
13,Ryan,101.0,134.56503499894006
14,Ryan,92.0,128.05882246550715
15,Ryan,104.0,134.66605335241405
16,Ryan,94.0,116.75878439085017
17,Ryan,145.0,163.97553377467844
18,Ryan,139.0,139.6330471058679
19,Ryan,115.0,138.49634401968478
20,Silver,90.0,116.02505415912727
21,Silver,137.5,131.6442680787367
22,Silver,106.5,112.35177019094073
23,Silver,101.0,110.10614858031968
24,Tester B,212.0,218.0162128512391
25,Tester B,258.0,259.2376037253944
26,Tester B,257.5,333.666321547133
27,Tester B,204.5,237.21856924374242
28,Tester B,383.0,406.7126300827656
29,Roger,96.5,95.12729736610672
30,Roger,153.5,153.815314785953
31,Roger,130.5,135.8889170085352
32,Roger,136.0,138.68693319454442
33,Roger,111.0,115.89940846390171
34,Roger,156.5,147.32730436960605
35,Roger,109.0,157.1593654084041
36,Roger,112.0,139.03803496734568
37,Roger,93.0,121.10170996752211
38,Roger,163.5,166.2305117131276
39,Roger,136.0,166.814906693569
40,Roger,120.0,192.03967857900784
41,Tester A,184.5,223.52160334482917
42,Tester A,195.0,229.64228661112
43,Tester A,224.0,231.61359416803958
44,Tester A,247.0,240.11531555075103
45,Tester A,146.0,213.626514002931
46,Tester A,183.0,211.40376723511218
47,Tester A,159.0,218.07928582734905
48,Alex,99.0,115.16717363212231
49,Alex,140.0,176.9825394310776
50,Alex,135.0,181.49816639440692
51,Alex,98.0,153.9573726891948
52,Alex,93.0,117.32755791503743
53,Alex,151.0,156.55752655513677
54,Alex,164.0,188.59426004750378
55,Alex,128.0,134.9966916197236
56,Gary,77.0,101.72480600431297
57,Gary,133.0,146.64678405072698
58,Gary,110.0,156.55909132068228
59,Gary,102.0,131.00117360912745
60,Gary,79.0,117.53715707913443
61,Gary,155.0,126.48371642886612
62,Gary,159.0,156.02211496713812
63,Gary,114.0,157.68728685964584
64,Tester E,136.0,229.87768067659812
65,Tester E,125.0,224.05489647274396
66,Tester E,168.0,225.7228544851058
67,Tester E,148.0,194.31681702259803
68,Tester E,214.0,188.2350826406864
69,Tester D,196.0,205.52153550565103
70,Tester D,203.0,226.07494232364382
71,Tester D,278.0,239.1995261281281
72,Tester D,228.0,216.82185618526216
73,Tester D,195.0,214.31692244748805
74,Tester B,253.5,289.52737851584476
75,Tester B,242.5,252.0499707482434
76,Tester B,266.0,275.03411533235703
77,Tester B,215.0,207.97720418996997
78,Tester B,139.5,206.33865352950596
79,Tester A,187.0,223.88043611789698
80,Tester A,281.0,239.1233651060424
81,Tester A,306.0,243.12407430700708
82,Tester A,258.0,227.68099179573375
83,Tester A,212.0,247.47513466290326
