,Name,total_y,total_pre_y
0,RW,94,109.3421458
1,RW,194,130.5442036
2,RW,151,125.0977049
3,RW,96,121.4520328
4,RW,132,114.9262979
5,RW,115,124.942612
6,RW,90,107.5782055
7,RW,199,124.2905933
8,RW,197,131.941705
9,Ryan,92,116.6292487
10,Ryan,94,115.6160328
11,Ryan,101,105.5543465
12,Ryan,96,105.7274253
13,Ryan,101,113.3386016
14,Ryan,92,96.97017269
15,Ryan,104,93.11182295
16,Ryan,94,90.51702712
17,Ryan,145,128.4533906
18,Ryan,139,106.718743
19,Ryan,115,103.3576955
20,Silver,90,82.29564926
21,Silver,137.5,113.6918058
22,Silver,106.5,91.23053589
23,Silver,101,98.75366115
24,Tester B,212,150.7994376
25,Tester B,258,175.0870148
26,Tester B,257.5,191.1474744
27,Tester B,204.5,227.0768526
28,Tester B,383,342.8615015
29,Roger,96.5,105.5525642
30,Roger,153.5,129.2698133
31,Roger,130.5,119.0357966
32,Roger,136,117.3467149
33,Roger,111,105.7582933
34,Roger,156.5,140.1400015
35,Roger,109,148.8880973
36,Roger,112,112.2064495
37,Roger,93,106.8018292
38,Roger,163.5,119.5452631
39,Roger,136,135.4971593
40,Roger,120,112.633561
41,Tester A,184.5,177.8618981
42,Tester A,195,175.1823558
43,Tester A,224,175.3616713
44,Tester A,247,200.1195497
45,Tester A,146,154.7426429
46,Tester A,183,158.8239239
47,Tester A,159,165.7680159
48,Alex,99,89.47574091
49,Alex,140,113.4005122
50,Alex,135,122.8804738
51,Alex,98,109.751382
52,Alex,93,92.82499716
53,Alex,151,122.1563635
54,Alex,164,125.3049646
55,Alex,128,96.77333722
56,Gary,77,100.0874694
57,Gary,133,103.9578521
58,Gary,110,109.7252879
59,Gary,102,104.0780554
60,Gary,79,98.81975942
61,Gary,155,100.0696924
62,Gary,159,109.2692123
63,Gary,114,108.878184
64,Tester E,136,119.5238696
65,Tester E,125,146.0570632
66,Tester E,168,124.0454591
67,Tester E,148,117.4634422
68,Tester E,214,119.4792659
69,Tester D,196,184.3086864
70,Tester D,203,189.5755959
71,Tester D,278,175.5388336
72,Tester D,228,180.5225902
73,Tester D,195,159.1405404
74,Tester B,253.5,218.7350585
75,Tester B,242.5,182.3824068
76,Tester B,266,185.1232144
77,Tester B,215,142.8248508
78,Tester B,139.5,174.1874592
79,Tester A,187,197.2314295
80,Tester A,281,267.4129428
81,Tester A,306,229.2174671
82,Tester A,258,225.3438033
83,Tester A,212,180.5176636
84,Tester A,186,186.5834042
85,Tester M,76,105.0385745
86,Tester M,113,99.54810674
87,Tester M,87,91.84037428
88,Tester M,81,83.90786247
89,Tester M,110,107.929186
90,Tester M,111,99.38402309
91,Tester M,93,101.7072051
92,Tester A,221,229.1069271
93,Tester A,281,232.5712626
94,Tester A,287,207.951069
95,Tester A,260,201.9121474
96,Tester A,263,216.8378482
97,Tester A,323,239.8381895
98,Nien,150,108.4065677
99,Nien,131,147.5978467
100,Nien,152,145.7730698
101,Nien,156,149.0459628
102,Nien,93,109.9583683
103,Nien,155,113.5973462
104,Nien,147,111.4449124
105,Nien,112,104.4498304
106,Roger,101,107.2426674
107,Roger,173.5,121.6335324
108,Roger,141,122.9685868
109,Roger,157,118.3091635
110,Roger,138.25,155.6523217
111,Roger,111,138.8873859
112,Roger,111,105.3411222
113,Roger,95,104.8298892
114,Roger,156.5,110.528354
115,Roger,116,118.8284441
116,Roger,121,110.6200309
117,Helen,108.5,102.2065872
118,Helen,203.5,108.012998
119,Helen,159,87.26290699
120,Helen,91,73.95456825
121,Helen,87.5,94.99490461
122,Helen,131,96.28318192
123,Helen,117.5,101.1797372
124,Helen,105,107.2823127
125,Helen,95.5,101.4011523
126,Helen,219,111.9649724
127,Helen,197,113.3296774
128,Helen,154,114.5486736
