,Name,total_y,total_pre_y
0,RW,92.5,134.9716457420468
1,RW,191.5,134.9475592665481
2,RW,151.0,134.9014299227431
3,RW,94.0,134.85464320578043
4,RW,124.0,133.97578675817786
5,RW,114.5,134.8253023734872
6,RW,89.5,134.9197187483149
7,RW,204.5,134.80062010796468
8,RW,200.5,134.8103353584753
9,Ryan,92.5,134.98334914356383
10,Ryan,96.5,134.92851220736532
11,Ryan,106.5,134.91508712218476
12,Ryan,97.5,134.9153659015212
13,Ryan,97.5,134.94650322418477
14,Ryan,97.5,134.9295099151118
15,Ryan,97.5,134.5321882908049
16,Ryan,95.0,115.8326546160858
17,Ryan,142.0,134.93539469131994
18,Ryan,124.5,134.97543724998872
19,Ryan,118.5,134.96051435984648
20,Silver,90.0,127.5874640388363
21,Silver,137.5,127.58746475546087
22,Silver,106.5,127.58746403626166
23,Silver,101.0,127.58746403671687
24,Tester B,212.0,290.73798200400836
25,Tester B,258.0,290.3303247397156
26,Tester B,257.5,285.5170202617144
27,Tester B,204.5,287.45622691479855
28,Tester B,383.0,290.75308623863197
29,Roger,96.5,134.5840285852964
30,Roger,153.5,134.7709974901453
31,Roger,130.5,134.75345164415822
32,Roger,136.0,134.81885785812045
33,Roger,111.0,134.8886120755661
34,Roger,156.5,135.07496988150626
35,Roger,109.0,137.86727049384433
36,Roger,112.0,134.92810953710995
37,Roger,93.0,134.90740615484864
38,Roger,163.5,135.08437192589972
39,Roger,136.0,135.14926502263808
40,Roger,120.0,135.90991554683052
41,Tester A,184.5,290.0651484087598
42,Tester A,195.0,282.6821813672074
43,Tester A,224.0,284.6842567481182
44,Tester A,247.0,290.65464674602475
45,Tester A,146.0,290.45639132972804
46,Tester A,183.0,290.623290614789
47,Tester A,159.0,290.7113022182565
48,Alex,99.0,125.54904362912029
49,Alex,140.0,175.24187235691764
50,Alex,135.0,138.78333158230063
51,Alex,98.0,152.67631350142275
52,Alex,93.0,125.28610196664349
53,Alex,151.0,135.03149481750754
54,Alex,164.0,234.5135224817282
55,Alex,128.0,142.31824140945852
56,Gary,77.0,132.78388928927995
57,Gary,133.0,174.07227884834313
58,Gary,110.0,136.28901466126968
59,Gary,102.0,136.72856204297798
60,Gary,79.0,127.82286538133438
61,Gary,155.0,133.12935099285403
62,Gary,159.0,152.6299887808442
63,Gary,114.0,133.73370786204242
64,Tester E,136.0,185.16096450686106
