,Name,total_y,total_pre_y
0,RW,92.5,141.3964509144016
1,RW,191.5,152.922285091872
2,RW,151.0,153.81846097523768
3,RW,94.0,152.02508780594627
4,RW,124.0,152.70084428558067
5,RW,114.5,143.49774332680553
6,RW,89.5,125.7909382480384
7,RW,204.5,153.88893398805726
8,RW,200.5,155.33265982020816
9,Ryan,92.5,120.50100154817397
10,Ryan,96.5,108.02116136459632
11,Ryan,106.5,87.75906689496169
12,Ryan,97.5,92.77579666584724
13,Ryan,97.5,108.99853585342774
14,Ryan,97.5,104.04200693897847
15,Ryan,97.5,109.18743692779962
16,Ryan,95.0,80.99880607724914
17,Ryan,142.0,132.8533241063253
18,Ryan,124.5,114.60957755032798
19,Ryan,118.5,107.97493999255525
20,Silver,90.0,101.24671351312413
21,Silver,137.5,116.7342526193795
22,Silver,106.5,103.76568233828334
23,Silver,101.0,106.84739408919874
24,Tester B,212.0,199.317645060872
25,Tester B,258.0,223.5495590147565
26,Tester B,257.5,226.50969186657045
27,Tester B,204.5,219.51345936446376
28,Tester B,383.0,430.34639525602165
29,Roger,96.5,99.85678454894557
30,Roger,153.5,139.82139346131726
31,Roger,130.5,128.7363093538819
32,Roger,136.0,122.84353043440962
33,Roger,111.0,107.91837598378106
34,Roger,156.5,136.70018892785203
35,Roger,109.0,137.36772541154275
36,Roger,112.0,123.32835765114349
37,Roger,93.0,107.90526177022663
38,Roger,163.5,135.4585370209621
39,Roger,136.0,141.455978171402
40,Roger,120.0,133.05146414009036
41,Tester A,184.5,214.65651055300344
42,Tester A,195.0,208.92521183488245
43,Tester A,224.0,218.71127331406248
44,Tester A,247.0,222.0383368797999
45,Tester A,146.0,181.66114935925262
46,Tester A,183.0,205.9538198922141
47,Tester A,159.0,168.4356353930643
48,Alex,99.0,84.70874307805035
49,Alex,140.0,128.3546377236473
50,Alex,135.0,122.95164582155016
51,Alex,98.0,111.93858783155082
52,Alex,93.0,89.70495032126541
53,Alex,151.0,129.86654135355877
54,Alex,164.0,149.09250118973875
55,Alex,128.0,100.05287581684416
